ell  q  S
0 0 0
1.998469148e-05 0 0.0001110322276
7.992367951e-05 0 0.000444119048
0.0001797717257 0 0.0009992308744
0.0003194535022 0 0.001776318399
0.0004988636956 0 0.002775312595
0.0007178671523 0 0.003996124728
0.000976299065 0 0.005438646356
0.001273965199 0 0.007102749348
0.00161064216 0 0.008988285889
0.001986077701 0 0.01109508849
0.002399991065 0 0.01342297002
0.002852073373 0 0.0159717237
0.003341988043 0 0.01874112313
0.003869371247 0 0.02173092233
0.004433832405 0 0.02494085571
0.005034954717 0 0.02837063816
0.005672295715 0 0.03201996501
0.006345387869 0 0.03588851213
0.007053739202 0 0.03997593587
0.00779683395 0 0.04428187318
0.008574133247 0 0.04880594157
0.009385075831 0 0.05354773919
0.01022907879 0 0.05850684484
0.0111055383 0 0.06368281803
0.01201383045 0 0.06907519901
0.01295331202 0 0.07468350877
0.01392332128 0 0.08050724918
0.0149231789 0 0.08654590292
0.01595218876 0 0.0927989336
0.01700963884 0 0.09926578581
0.0180948021 0 0.1059458851
0.0192069374 0 0.1128386381
0.0203452904 0 0.1199434326
0.02150909446 0 0.1272596375
0.0226975716 0 0.1347866029
0.0239099334 0 0.1425236603
0.02514538197 0 0.1504701223
0.02640311082 0 0.1586252831
0.02768230589 0 0.1669884184
0.0289821464 0 0.1755587853
0.03030180582 0.0001509712793 0.1843356225
0.0316404528 0.0008222535922 0.1933181503
0.03299725209 0.001505418072 0.202505571
0.03437136543 0.002200183839 0.2118970684
0.03576195248 0.002906266296 0.2214918084
0.03716817171 0.003623377303 0.2312889386
0.03858918128 0.004351225363 0.2412875889
0.04002413991 0.0050895158 0.2514868711
0.04147220773 0.005837950945 0.2618858792
0.04293254713 0.006596230322 0.2724836895
0.04440432359 0.007364050833 0.2832793607
0.04588670645 0.008141106947 0.2942719339
0.04737886976 0.008927090883 0.3054604326
0.04887999299 0.009721692807 0.316843863
0.0503892618 0.01052460102 0.3284212139
0.05190586877 0.01133550213 0.340191457
0.05342901411 0.01215408129 0.3521535468
0.05495790631 0.01298002232 0.3643064208
0.05649176283 0.01381300796 0.3766489993
0.05802981073 0.01465272003 0.3891801862
0.05957128724 0.01549883963 0.4018988684
0.06111544039 0.01635104732 0.414803916
0.06266152956 0.01720902331 0.4278941827
0.06420882596 0.01807244767 0.4411685059
0.06575661321 0.0189410005 0.4546257064
0.06730418775 0.01981436212 0.4682645889
0.06885085934 0.02069221327 0.4820839419
0.07039595146 0.02157423526 0.4960825378
0.0719388017 0.0224601102 0.5102591333
0.07347876214 0.02334952116 0.5246124691
0.07501519969 0.02424215235 0.5391412702
0.07654749642 0.02513768929 0.5538442461
0.0780750498 0.02603581904 0.5687200908
0.07959727303 0.02693623029 0.583767483
0.08111359522 0.02783861363 0.598985086
0.08262346161 0.02874266164 0.6143715482
0.08412633376 0.0296480691 0.6299255027
0.08562168972 0.03055453318 0.6456455682
0.08710902414 0.03146175356 0.661530348
0.08858784839 0.03236943259 0.6775784314
0.09005769061 0.03327727552 0.6937883929
0.09151809583 0.03418499057 0.7101587924
0.09296862596 0.03509228913 0.7266881761
0.09440885981 0.03599888593 0.7433750755
0.09583839309 0.03690449913 0.7602180085
0.09725683838 0.03780885052 0.777215479
0.09866382507 0.03871166564 0.7943659772
0.1000589993 0.0396126739 0.8116679797
0.1014420239 0.04051160875 0.8291199496
0.1028125782 0.04140820779 0.8467203367
0.1041703579 0.04230221289 0.8644675777
0.1055150751 0.04319337036 0.8823600961
0.1068464579 0.04408143099 0.9003963026
0.1081642505 0.04496615023 0.9185745952
0.1094682127 0.04584728828 0.9368933592
0.1107581199 0.04672461021 0.9553509673
0.1120337628 0.04759788602 0.97394578
0.1132949471 0.0484668908 0.9926761458
0.1145414937 0.04933140476 1.011540401
0.1157732377 0.05019121338 1.030536869
