q  E
0.5805 -0.04448408328
0.584 -0.04538991988
0.5875 -0.04630696894
0.591 -0.04723514224
0.5945 -0.04817434793
0.598 -0.04912449057
0.6015 -0.05008547112
0.605 -0.05105718695
0.6085 -0.0520395318
0.612 -0.05303239582
0.6155 -0.05403566558
0.619 -0.05504922402
0.6225 -0.0560729505
0.626 -0.05710672076
0.6295 -0.05815040694
0.633 -0.0592038776
0.6365 -0.06026699767
0.64 -0.06133962851
0.6435 -0.06242162784
0.647 -0.06351284981
0.6505 -0.06461314496
0.654 -0.06572236022
0.6575 -0.06684033893
0.661 -0.06796692083
0.6645 -0.06910194203
0.668 -0.07024523508
0.6715 -0.0713966289
0.675 -0.07255594881
0.6785 -0.07372301656
0.682 -0.07489765025
0.6855 -0.07607966441
0.689 -0.07726886997
0.6925 -0.07846507424
0.696 -0.07966808094
0.6995 -0.08087769019
0.703 -0.08209369851
0.7065 -0.0833158988
0.71 -0.08454408037
0.7135 -0.08577802895
0.717 -0.08701752664
0.7205 -0.08826235194
0.724 -0.08951227977
0.7275 -0.09076708143
0.731 -0.09202652461
0.7345 -0.09329037343
0.738 -0.09455838838
0.7415 -0.09583032637
0.745 -0.09710594068
0.7485 -0.09838498102
0.752 -0.09966719348
0.7555 -0.1009523205
0.759 -0.1022401011
0.7625 -0.1035302705
0.766 -0.1048225603
0.7695 -0.1061166987
0.773 -0.1074124102
0.7765 -0.1087094156
0.78 -0.1100074322
0.7835 -0.1113061738
0.787 -0.1126053503
0.7905 -0.1139046682
0.794 -0.1152038305
0.7975 -0.1165025364
0.801 -0.1178004816
0.8045 -0.1190973581
0.808 -0.1203928545
0.8115 -0.1216866555
0.815 -0.1229784426
0.8185 -0.1242678932
0.822 -0.1255546815
0.8255 -0.126838478
0.829 -0.1281189495
0.8325 -0.1293957592
0.836 -0.1306685669
0.8395 -0.1319370286
0.843 -0.1332007967
0.8465 -0.1344595201
0.85 -0.1357128441
0.8535 -0.1369604103
0.857 -0.1382018567
0.8605 -0.1394368178
0.864 -0.1406649245
0.8675 -0.1418858039
0.871 -0.1430990798
0.8745 -0.1443043721
0.878 -0.1455012974
0.8815 -0.1466894684
0.885 -0.1478684944
0.8885 -0.149037981
0.892 -0.1501975303
0.8955 -0.1513467407
0.899 -0.152485207
0.9025 -0.1536125205
0.906 -0.1547282687
0.9095 -0.1558320358
0.913 -0.156923402
0.9165 -0.1580019444
0.92 -0.159067236
0.9235 -0.1601188465
0.927 -0.1611563419
0.9305 -0.1621792847
0.934 -0.1631872336
0.9375 -0.1641797439
0.941 -0.1651563672
0.9445 -0.1661166514
0.948 -0.1670601411
0.9515 -0.167986377
0.955 -0.1688948963
0.9585 -0.1697852326
0.962 -0.170656916
0.9655 -0.1715094727
0.969 -0.1723424258
0.9725 -0.1731552942
0.976 -0.1739475937
0.9795 -0.1747188362
0.983 -0.1754685301
0.9865 -0.1761961803
0.99 -0.1769012878
0.9935 -0.1775833504
0.997 -0.178241862
1.0005 -0.1788763129
1.004 -0.17948619
1.0075 -0.1800709764
1.011 -0.1806301518
1.0145 -0.181163192
1.018 -0.1816695696
1.0215 -0.1821487533
1.025 -0.1826002082
1.0285 -0.1830233959
1.032 -0.1834177744
1.0355 -0.1837827981
1.039 -0.1841179177
1.0425 -0.1844225805
1.046 -0.1846962299
1.0495 -0.184938306
1.053 -0.185148245
1.0565 -0.1853254799
1.06 -0.1854694397
1.0635 -0.18557955
1.067 -0.1856552328
1.0705 -0.1856959064
1.074 -0.1857009855
1.0775 -0.1856698814
1.081 -0.1856020016
1.0845 -0.1854967499
1.088 -0.1853535269
1.0915 -0.1851717292
1.095 -0.18495075
1.0985 -0.1846899788
1.102 -0.1843888016
1.1055 -0.1840466007
1.109 -0.1836627549
1.1125 -0.1832366392
1.116 -0.1827676253
1.1195 -0.182255081
1.123 -0.1816983708
1.1265 -0.1810968552
1.13 -0.1804498916
1.1335 -0.1797568333
1.137 -0.1790170304
1.1405 -0.1782298291
1.144 -0.1773945723
1.1475 -0.1765105989
1.151 -0.1755772445
1.1545 -0.1745938411
1.158 -0.173559717
1.1615 -0.1724741969
1.165 -0.1713366019
1.1685 -0.1701462495
1.172 -0.1689024536
1.1755 -0.1676045246
1.179 -0.1662517692
1.1825 -0.1648434904
1.186 -0.1633789879
1.1895 -0.1618575574
1.193 -0.1602784913
1.1965 -0.1586410783
1.2 -0.1569446034
