h  err_L1  err_Linf  energy_defect  bound_Ch
0.2 0.1035747637 0.1987689973 0.0056 36.6705492
0.1 0.09457476366 0.1687689973 0.0029 18.3352746
0.05 0.08982476366 0.1537689973 0.001475 9.1676373
0.025 0.08738726366 0.1537689973 0.00074375 4.58381865
0.0125 0.02499263862 0.1074984704 0.1967914063 2.291909325
0.00625 0.01131207314 0.061622853 0.1003036267 1.145954662
0.003125 0.006360052037 0.04953283815 0.0714323152 0.5729773312
0.0015625 0.003086344445 0.0263618339 0.03711243815 0.2864886656
0.00078125 0.001555585605 0.01352021502 0.01938432857 0.1432443328
0.000390625 0.0007778282646 0.006897639426 0.009758188918 0.0716221664
0.0001953125 0.0003875957612 0.003460844433 0.004938452017 0.0358110832
9.765625e-05 0.0001924633131 0.001742427398 0.002483402544 0.0179055416
