t  S  q  ell
0.171 1.309404491 0.4150096077 0.3650096077
0.1725 1.330175464 0.4177845705 0.3677845705
0.174 1.351050348 0.4205159445 0.3705159445
0.1755 1.372027289 0.4232038334 0.3732038334
0.177 1.393104422 0.4258483657 0.3758483657
0.1785 1.414279877 0.4284496936 0.3784496936
0.18 1.435551771 0.4310079925 0.3810079925
0.1815 1.456918216 0.4335234596 0.3835234596
0.183 1.478377313 0.4359963135 0.3859963135
0.1845 1.499927157 0.4384267929 0.3884267929
0.186 1.521565833 0.4408151557 0.3908151557
0.1875 1.543291419 0.4431616783 0.3931616783
0.189 1.565101986 0.4454666549 0.3954666549
0.1905 1.586995595 0.447730396 0.397730396
0.192 1.608970303 0.4499532281 0.3999532281
0.1935 1.631024158 0.452135493 0.402135493
0.195 1.653155199 0.4542775461 0.4042775461
0.1965 1.675361463 0.4563797566 0.4063797566
0.198 1.697640975 0.4584425062 0.4084425062
0.1995 1.719991758 0.4604661881 0.4104661881
0.201 1.742411826 0.462451207 0.412451207
0.2025 1.764899187 0.4643979774 0.4143979774
0.204 1.787451844 0.4663069236 0.4163069236
0.2055 1.810067793 0.4681784787 0.4181784787
0.207 1.832745027 0.470013084 0.420013084
0.2085 1.855481529 0.4718111879 0.4218111879
0.21 1.878275282 0.4735732461 0.4235732461
0.2115 1.90112426 0.4752997201 0.4252997201
0.213 1.924026433 0.4769910771 0.4269910771
0.2145 1.946979768 0.4786477891 0.4286477891
0.216 1.969982225 0.4802703325 0.4302703325
0.2175 1.993031762 0.4818591875 0.4318591875
0.219 2.01612633 0.4834148374 0.4334148374
0.2205 2.039263879 0.4849377685 0.4349377685
0.222 2.062442353 0.4864284689 0.4364284689
0.2235 2.085659693 0.4878874287 0.4378874287
0.225 2.108913837 0.4893151389 0.4393151389
0.2265 2.13220272 0.4907120917 0.4407120917
0.228 2.155524273 0.4920787792 0.4420787792
0.2295 2.178876424 0.4934156936 0.4434156936
0.231 2.2022571 0.4947233267 0.4447233267
0.2325 2.225664222 0.4960021692 0.4460021692
0.234 2.249095713 0.4972527106 0.4472527106
0.2355 2.27254949 0.4984754389 0.4484754389
0.237 2.296023471 0.4996708402 0.4496708402
0.2385 2.31951557 0.5008393981 0.4508393981
0.24 2.343023701 0.5019815939 0.4519815939
0.2415 2.366545776 0.503097906 0.453097906
0.243 2.390079704 0.5041888096 0.4541888096
0.2445 2.413623397 0.5052547765 0.4552547765
0.246 2.437174761 0.5062962751 0.4562962751
0.2475 2.460731707 0.5073137697 0.4573137697
0.249 2.48429214 0.5083077209 0.4583077209
0.2505 2.507853969 0.5092785847 0.4592785847
0.252 2.5314151 0.5102268127 0.4602268127
0.2535 2.55497344 0.5111528522 0.4611528522
0.255 2.578526898 0.5120571454 0.4620571454
0.2565 2.60207338 0.5129401298 0.4629401298
0.258 2.625610795 0.5138022377 0.4638022377
0.2595 2.649137053 0.5146438962 0.4646438962
0.261 2.672650064 0.5154655273 0.4654655273
0.2625 2.696147739 0.5162675474 0.4662675474
0.264 2.719627991 0.5170503675 0.4670503675
0.2655 2.743088735 0.517814393 0.467814393
0.267 2.766527886 0.5185600237 0.4685600237
0.2685 2.789943362 0.5192876536 0.4692876536
0.27 2.813333084 0.5199976709 0.4699976709
0.2715 2.836694974 0.5206904581 0.4706904581
0.273 2.860026956 0.5213663917 0.4713663917
0.2745 2.883326959 0.5220258425 0.4720258425
0.276 2.906592913 0.522669175 0.472669175
0.2775 2.929822751 0.5232967482 0.4732967482
0.279 2.953014409 0.5239089149 0.4739089149
0.2805 2.976165828 0.5245060219 0.4745060219
0.282 2.999274951 0.5250884102 0.4750884102
0.2835 3.022339726 0.5256564148 0.4756564148
0.285 3.045358103 0.5262103647 0.4762103647
0.2865 3.068328039 0.5267505829 0.4767505829
0.288 3.091247493 0.5272773868 0.4772773868
0.2895 3.114114428 0.5277910875 0.4777910875
0.291 3.136926814 0.5282919907 0.4782919907
0.2925 3.159682625 0.528780396 0.478780396
0.294 3.182379839 0.5292565972 0.4792565972
0.2955 3.20501644 0.5297208826 0.4797208826
0.297 3.227590417 0.5301735346 0.4801735346
0.2985 3.250099766 0.5306148302 0.4806148302
0.3 3.272542486 0.5310450405 0.4810450405
0.3015 3.294916585 0.5314644314 0.4814644314
0.303 3.317220074 0.5318732631 0.4818732631
0.3045 3.339450973 0.5322717906 0.4822717906
0.306 3.361607308 0.5326602632 0.4826602632
0.3075 3.383687109 0.5330389254 0.4830389254
0.309 3.405688417 0.5334080161 0.4834080161
0.3105 3.427609276 0.5337677692 0.4837677692
0.312 3.449447739 0.5341184134 0.4841184134
0.3135 3.471201867 0.5344601727 0.4844601727
0.315 3.492869727 0.5347932658 0.4847932658
0.3165 3.514449394 0.5351179066 0.4851179066
0.318 3.535938952 0.5354343044 0.4854343044
0.3195 3.557336493 0.5357426637 0.4857426637
0.321 3.578640114 0.5360431841 0.4860431841
0.3225 3.599847925 0.536336061 0.486336061
0.324 3.62095804 0.5366214851 0.4866214851
0.3255 3.641968586 0.5368996426 0.4868996426
0.327 3.662877695 0.5371707156 0.4871707156
0.3285 3.683683511 0.5374348817 0.4874348817
0.33 3.704384185 0.5376923144 0.4876923144
0.3315 3.724977879 0.5379431831 0.4879431831
0.333 3.745462763 0.5381876531 0.4881876531
0.3345 3.765837018 0.5384258857 0.4884258857
0.336 3.786098834 0.5386580384 0.4886580384
0.3375 3.806246412 0.5388842648 0.4888842648
0.339 3.826277961 0.5391047149 0.4891047149
0.3405 3.846191702 0.5393195347 0.4893195347
0.342 3.865985867 0.539528867 0.489528867
0.3435 3.885658697 0.5397328508 0.4897328508
0.345 3.905208445 0.5399316217 0.4899316217
0.3465 3.924633374 0.5401253119 0.4901253119
0.348 3.943931759 0.5403140504 0.4903140504
0.3495 3.963101885 0.5404979628 0.4904979628
0.351 3.98214205 0.5406771717 0.4906771717
0.3525 4.001050563 0.5408517964 0.4908517964
0.354 4.019825744 0.5410219532 0.4910219532
0.3555 4.038465925 0.5411877555 0.4911877555
