t  S  q  ell
0.537 4.932746277 0.5466310265 0.4963966577
0.5385 4.92720989 0.5466310265 0.4963766529
0.54 4.921457903 0.5466310265 0.4963557514
0.5415 4.915490828 0.5466310265 0.4963339409
0.543 4.909309196 0.5466310265 0.4963112085
0.5445 4.902913554 0.5466310265 0.4962875407
0.546 4.896304473 0.5466310265 0.4962629235
0.5475 4.889482537 0.5466310265 0.4962373422
0.549 4.882448354 0.5466310265 0.4962107817
0.5505 4.875202548 0.5466310265 0.496183226
0.552 4.867745762 0.5466310265 0.4961546588
0.5535 4.86007866 0.5466310265 0.4961250629
0.555 4.852201922 0.5466310265 0.4960944205
0.5565 4.844116248 0.5466310265 0.4960627132
0.558 4.835822356 0.5466310265 0.496029922
0.5595 4.827320983 0.5466310265 0.495996027
0.561 4.818612883 0.5466310265 0.4959610078
0.5625 4.809698831 0.5466310265 0.495924843
0.564 4.800579618 0.5466310265 0.4958875108
0.5655 4.791256055 0.5466310265 0.4958489885
0.567 4.781728969 0.5466310265 0.4958092525
0.5685 4.771999206 0.5466310265 0.4957682785
0.57 4.762067631 0.5466310265 0.4957260414
0.5715 4.751935127 0.5466310265 0.4956825154
0.573 4.741602592 0.5466310265 0.4956376735
0.5745 4.731070945 0.5466310265 0.4955914883
0.576 4.720341122 0.5466310265 0.495543931
0.5775 4.709414075 0.5466310265 0.4954949724
0.579 4.698290775 0.5466310265 0.4954445819
0.5805 4.686972211 0.5466310265 0.4953927282
0.582 4.675459387 0.5466310265 0.495339379
0.5835 4.663753326 0.5466310265 0.4952845009
0.585 4.651855068 0.5466310265 0.4952280595
0.5865 4.639765669 0.5466310265 0.4951700195
0.588 4.627486204 0.5466310265 0.4951103443
0.5895 4.615017764 0.5466310265 0.4950489962
0.591 4.602361456 0.5466310265 0.4949859366
0.5925 4.589518403 0.5466310265 0.4949211254
0.594 4.576489748 0.5466310265 0.4948545216
0.5955 4.563276647 0.5466310265 0.4947860827
0.597 4.549880273 0.5466310265 0.4947157652
0.5985 4.536301818 0.5466310265 0.4946435241
0.6 4.522542486 0.5466310265 0.4945693132
0.6015 4.5086035 0.5466310265 0.4944930849
0.603 4.494486099 0.5466310265 0.4944147902
0.6045 4.480191536 0.5466310265 0.4943343787
0.606 4.46572108 0.5466310265 0.4942517985
0.6075 4.451076018 0.5466310265 0.4941669963
0.609 4.43625765 0.5466310265 0.4940799171
0.6105 4.421267293 0.5466310265 0.4939905045
0.612 4.406106278 0.5466310265 0.4938987003
0.6135 4.390775951 0.5466310265 0.4938044447
0.615 4.375277674 0.5466310265 0.4937076763
0.6165 4.359612825 0.5466310265 0.493608332
0.618 4.343782793 0.5466310265 0.4935063466
0.6195 4.327788987 0.5466310265 0.4934016533
0.621 4.311632825 0.5466310265 0.4932941836
0.6225 4.295315744 0.5466310265 0.4931838666
0.624 4.278839193 0.5466310265 0.49307063
0.6255 4.262204635 0.5466310265 0.4929543989
0.627 4.245413547 0.5466310265 0.4928350968
0.6285 4.228467422 0.5466310265 0.4927126448
0.63 4.211367765 0.5466310265 0.4925869621
0.6315 4.194116094 0.5466310265 0.4924579653
0.633 4.176713941 0.5466310265 0.492325569
0.6345 4.159162854 0.5466310265 0.4921896854
0.636 4.141464389 0.5466310265 0.4920502243
0.6375 4.123620121 0.5466310265 0.4919070932
0.639 4.105631633 0.5466310265 0.4917601968
0.6405 4.087500524 0.5466310265 0.4916094374
0.642 4.069228403 0.5466310265 0.4914547148
0.6435 4.050816895 0.5466310265 0.4912959259
0.645 4.032267634 0.5466310265 0.491132965
0.6465 4.013582268 0.5466310265 0.4909657236
0.648 3.994762458 0.5466310265 0.4907940903
0.6495 3.975809873 0.5466310265 0.4906179506
0.651 3.956726199 0.5466310265 0.4904371873
0.6525 3.93751313 0.5466310265 0.4902516799
0.654 3.918172373 0.5466310265 0.490061305
0.6555 3.898705645 0.5466310265 0.4898659357
0.657 3.879114677 0.5466310265 0.489665442
0.6585 3.859401207 0.5466310265 0.4894596907
0.66 3.839566987 0.5466310265 0.4892485448
0.6615 3.81961378 0.5466310265 0.4890318643
0.663 3.799543357 0.5466310265 0.4888095052
0.6645 3.7793575 0.5466310265 0.4885813201
0.666 3.759058004 0.5466310265 0.4883471581
0.6675 3.738646671 0.5466310265 0.488106864
0.669 3.718125314 0.5466310265 0.4878602792
0.6705 3.697495757 0.5466310265 0.4876072411
0.672 3.67675983 0.5466310265 0.487347583
0.6735 3.655919378 0.5466310265 0.487081134
0.675 3.634976249 0.5466310265 0.4868077195
0.6765 3.613932306 0.5466310265 0.4865271602
0.678 3.592789417 0.5466310265 0.4862392728
0.6795 3.571549459 0.5466310265 0.4859438694
0.681 3.550214321 0.5466310265 0.485640758
0.6825 3.528785897 0.5466310265 0.4853297417
0.684 3.507266089 0.5466310265 0.4850106191
0.6855 3.485656811 0.5466310265 0.4846831843
0.687 3.463959981 0.5466310265 0.4843472266
0.6885 3.442177526 0.5466310265 0.4840025302
0.69 3.420311382 0.5466310265 0.4836488748
0.6915 3.39836349 0.5466310265 0.4832860348
0.693 3.3763358 0.5466310265 0.4829137799
0.6945 3.35423027 0.5466310265 0.4825318744
0.696 3.332048861 0.5466310265 0.4821400775
0.6975 3.309793545 0.5466310265 0.4817381433
0.699 3.287466299 0.5466310265 0.4813258204
0.7005 3.265069105 0.5466310265 0.4809028522
0.702 3.242603954 0.5466310265 0.4804689766
0.7035 3.22007284 0.5466310265 0.480023926
0.705 3.197477765 0.5466310265 0.4795674272
0.7065 3.174820736 0.5466310265 0.4790992015
0.708 3.152103766 0.5466310265 0.4786189646
0.7095 3.129328872 0.5466310265 0.4781264263
0.711 3.106498077 0.5466310265 0.4776212909
0.7125 3.08361341 0.5466310265 0.4771032566
0.714 3.060676902 0.5466310265 0.4765720162
0.7155 3.037690593 0.5466310265 0.4760272563
0.717 3.014656522 0.5466310265 0.4754686577
0.7185 2.991576737 0.5466310265 0.4748958954
0.72 2.968453286 0.5466310265 0.4743086384
0.7215 2.945288226 0.5466310265 0.4737065496
0.723 2.922083612 0.5466310265 0.4730892863
0.7245 2.898841506 0.5466310265 0.4724564995
0.726 2.875563973 0.5466310265 0.4718078343
0.7275 2.85225308 0.5466310265 0.4711429301
0.729 2.828910898 0.5466310265 0.4704614201
0.7305 2.8055395 0.5466310265 0.4697629317
0.732 2.782140962 0.5466310265 0.4690470863
0.7335 2.758717363 0.5466310265 0.4683134996
0.735 2.735270783 0.5466310265 0.4675617814
0.7365 2.711803305 0.5466310265 0.4667915357
0.738 2.688317014 0.5466310265 0.4660023609
0.7395 2.664813995 0.5466310265 0.4651938497
