h  err_inf  energy_defect
0.02 1.249000903e-16 0.001486045887
0.01 1.526556659e-16 0.0007511932509
0.005 1.526556659e-16 0.0003781189204
0.0025 1.387778781e-16 0.0001894040923
0.00125 1.665334537e-16 9.509194211e-05
0.000625 1.665334537e-16 4.753963977e-05
0.0003125 3.06017052e-11 2.376880032e-05
0.00015625 3.06017052e-11 1.188474761e-05
