t  S  q  ell
0.18 1.435551771 0.2810079925 0.3810079925
0.1815 1.456918216 0.2835234596 0.3835234596
0.183 1.478377313 0.2859963135 0.3859963135
0.1845 1.499927157 0.2884267929 0.3884267929
0.186 1.521565833 0.2908151557 0.3908151557
0.1875 1.543291419 0.2931616783 0.3931616783
0.189 1.565101986 0.2954666549 0.3954666549
0.1905 1.586995595 0.297730396 0.397730396
0.192 1.608970303 0.2999532281 0.3999532281
0.1935 1.631024158 0.302135493 0.402135493
0.195 1.653155199 0.3042775461 0.4042775461
0.1965 1.675361463 0.3063797566 0.4063797566
0.198 1.697640975 0.3084425062 0.4084425062
0.1995 1.719991758 0.3104661881 0.4104661881
0.201 1.742411826 0.312451207 0.412451207
0.2025 1.764899187 0.3143979774 0.4143979774
0.204 1.787451844 0.3163069236 0.4163069236
0.2055 1.810067793 0.3181784787 0.4181784787
0.207 1.832745027 0.320013084 0.420013084
0.2085 1.855481529 0.3218111879 0.4218111879
0.21 1.878275282 0.3235732461 0.4235732461
0.2115 1.90112426 0.3252997201 0.4252997201
0.213 1.924026433 0.3269910771 0.4269910771
0.2145 1.946979768 0.3286477891 0.4286477891
0.216 1.969982225 0.3302703325 0.4302703325
0.2175 1.993031762 0.3318591875 0.4318591875
0.219 2.01612633 0.3334148374 0.4334148374
0.2205 2.039263879 0.3349377685 0.4349377685
0.222 2.062442353 0.3364284689 0.4364284689
0.2235 2.085659693 0.3378874287 0.4378874287
0.225 2.108913837 0.3393151389 0.4393151389
0.2265 2.13220272 0.3407120917 0.4407120917
0.228 2.155524273 0.3420787792 0.4420787792
0.2295 2.178876424 0.3434156936 0.4434156936
0.231 2.2022571 0.3447233267 0.4447233267
0.2325 2.225664222 0.3460021692 0.4460021692
0.234 2.249095713 0.3472527106 0.4472527106
0.2355 2.27254949 0.3484754389 0.4484754389
0.237 2.296023471 0.3496708402 0.4496708402
0.2385 2.31951557 0.3508393981 0.4508393981
0.24 2.343023701 0.3519815939 0.4519815939
0.2415 2.366545776 0.353097906 0.453097906
0.243 2.390079704 0.3541888096 0.4541888096
0.2445 2.413623397 0.3552547765 0.4552547765
0.246 2.437174761 0.3562962751 0.4562962751
0.2475 2.460731707 0.3573137697 0.4573137697
0.249 2.48429214 0.3583077209 0.4583077209
0.2505 2.507853969 0.3592785847 0.4592785847
0.252 2.5314151 0.3602268127 0.4602268127
0.2535 2.55497344 0.3611528522 0.4611528522
0.255 2.578526898 0.3620571454 0.4620571454
0.2565 2.60207338 0.3629401298 0.4629401298
0.258 2.625610795 0.3638022377 0.4638022377
0.2595 2.649137053 0.3646438962 0.4646438962
0.261 2.672650064 0.3654655273 0.4654655273
0.2625 2.696147739 0.3662675474 0.4662675474
0.264 2.719627991 0.3670503675 0.4670503675
0.2655 2.743088735 0.367814393 0.467814393
0.267 2.766527886 0.3685600237 0.4685600237
0.2685 2.789943362 0.3692876536 0.4692876536
0.27 2.813333084 0.3699976709 0.4699976709
0.2715 2.836694974 0.3706904581 0.4706904581
0.273 2.860026956 0.3713663917 0.4713663917
0.2745 2.883326959 0.3720258425 0.4720258425
0.276 2.906592913 0.372669175 0.472669175
0.2775 2.929822751 0.3732967482 0.4732967482
0.279 2.953014409 0.3739089149 0.4739089149
0.2805 2.976165828 0.3745060219 0.4745060219
0.282 2.999274951 0.3750884102 0.4750884102
0.2835 3.022339726 0.3756564148 0.4756564148
0.285 3.045358103 0.3762103647 0.4762103647
0.2865 3.068328039 0.3767505829 0.4767505829
0.288 3.091247493 0.3772773868 0.4772773868
0.2895 3.114114428 0.3777910875 0.4777910875
0.291 3.136926814 0.3782919907 0.4782919907
0.2925 3.159682625 0.378780396 0.478780396
0.294 3.182379839 0.3792565972 0.4792565972
0.2955 3.20501644 0.3797208826 0.4797208826
0.297 3.227590417 0.3801735346 0.4801735346
0.2985 3.250099766 0.3806148302 0.4806148302
0.3 3.272542486 0.3810450405 0.4810450405
0.3015 3.294916585 0.3814644314 0.4814644314
0.303 3.317220074 0.3818732631 0.4818732631
0.3045 3.339450973 0.3822717906 0.4822717906
0.306 3.361607308 0.3826602632 0.4826602632
0.3075 3.383687109 0.3830389254 0.4830389254
0.309 3.405688417 0.3834080161 0.4834080161
0.3105 3.427609276 0.3837677692 0.4837677692
0.312 3.449447739 0.3841184134 0.4841184134
0.3135 3.471201867 0.3844601727 0.4844601727
0.315 3.492869727 0.3847932658 0.4847932658
0.3165 3.514449394 0.3851179066 0.4851179066
0.318 3.535938952 0.3854343044 0.4854343044
0.3195 3.557336493 0.3857426637 0.4857426637
0.321 3.578640114 0.3860431841 0.4860431841
0.3225 3.599847925 0.386336061 0.486336061
0.324 3.62095804 0.3866214851 0.4866214851
0.3255 3.641968586 0.3868996426 0.4868996426
0.327 3.662877695 0.3871707156 0.4871707156
0.3285 3.683683511 0.3874348817 0.4874348817
0.33 3.704384185 0.3876923144 0.4876923144
0.3315 3.724977879 0.3879431831 0.4879431831
0.333 3.745462763 0.3881876531 0.4881876531
0.3345 3.765837018 0.3884258857 0.4884258857
0.336 3.786098834 0.3886580384 0.4886580384
0.3375 3.806246412 0.3888842648 0.4888842648
0.339 3.826277961 0.3891047149 0.4891047149
0.3405 3.846191702 0.3893195347 0.4893195347
0.342 3.865985867 0.389528867 0.489528867
0.3435 3.885658697 0.3897328508 0.4897328508
0.345 3.905208445 0.3899316217 0.4899316217
0.3465 3.924633374 0.3901253119 0.4901253119
0.348 3.943931759 0.3903140504 0.4903140504
0.3495 3.963101885 0.3904979628 0.4904979628
0.351 3.98214205 0.3906771717 0.4906771717
0.3525 4.001050563 0.3908517964 0.4908517964
0.354 4.019825744 0.3910219532 0.4910219532
0.3555 4.038465925 0.3911877555 0.4911877555
0.357 4.056969451 0.3913493138 0.4913493138
0.3585 4.075334678 0.3915067356 0.4915067356
0.36 4.093559974 0.3916601259 0.4916601259
0.3615 4.111643722 0.3918095866 0.4918095866
0.363 4.129584313 0.3919552172 0.4919552172
0.3645 4.147380156 0.3920971145 0.4920971145
0.366 4.165029669 0.3922353729 0.4922353729
0.3675 4.182531284 0.3923700842 0.4923700842
0.369 4.199883447 0.3925013376 0.4925013376
0.3705 4.217084616 0.3926292204 0.4926292204
0.372 4.234133265 0.3927538171 0.4927538171
0.3735 4.251027877 0.3928752102 0.4928752102
0.375 4.267766953 0.39299348 0.49299348
0.3765 4.284349006 0.3931087045 0.4931087045
0.378 4.300772562 0.3932209597 0.4932209597
0.3795 4.317036164 0.3933303197 0.4933303197
0.381 4.333138366 0.3934368562 0.4934368562
0.3825 4.349077737 0.3935406392 0.4935406392
0.384 4.364852864 0.3936417369 0.4936417369
0.3855 4.380462343 0.3937402155 0.4937402155
0.387 4.395904788 0.3938361393 0.4938361393
0.3885 4.411178829 0.393929571 0.493929571
0.39 4.426283107 0.3940205715 0.4940205715
0.3915 4.441216282 0.3941092 0.4941092
0.393 4.455977026 0.394195514 0.494195514
0.3945 4.47056403 0.3942795695 0.4942795695
0.396 4.484975997 0.3943614209 0.4943614209
0.3975 4.499211646 0.3944411211 0.4944411211
0.399 4.513269714 0.3945187215 0.4945187215
0.4005 4.527148952 0.3945942719 0.4945942719
0.402 4.540848127 0.394667821 0.494667821
0.4035 4.554366022 0.3947394158 0.4947394158
0.405 4.567701436 0.3948091022 0.4948091022
0.4065 4.580853185 0.3948769246 0.4948769246
0.408 4.5938201 0.3949429263 0.4949429263
0.4095 4.60660103 0.3950071491 0.4950071491
0.411 4.61919484 0.3950696338 0.4950696338
0.4125 4.631600411 0.39513042 0.49513042
0.414 4.64381664 0.395189546 0.495189546
0.4155 4.655842444 0.3952470492 0.4952470492
0.417 4.667676753 0.3953029655 0.4953029655
0.4185 4.679318516 0.3953573302 0.4953573302
