ell  q  S
0 0 0
3.330781913e-05 0 0.0001110322276
0.0001332061325 0 0.000444119048
0.0002996195428 0 0.0009992308744
0.0005324225036 0 0.001776318399
0.0008314394926 0 0.002775312595
0.001196445254 0 0.003996124728
0.001627165108 0 0.005438646356
0.002123275332 0 0.007102749348
0.0026844036 0 0.008988285889
0.003310129501 0 0.01109508849
0.003999985108 0 0.01342297002
0.004753455622 0 0.0159717237
0.005569980071 0 0.01874112313
0.006448952078 0 0.02173092233
0.007389720676 0 0.02494085571
0.008391591194 0 0.02837063816
0.009453826192 0 0.03201996501
0.01057564645 0 0.03588851213
0.011756232 0 0.03997593587
0.01299472325 0 0.04428187318
0.01429022208 0 0.04880594157
0.01564179305 0 0.05354773919
0.01704846464 0 0.05850684484
0.0185092305 0 0.06368281803
0.02002305076 0 0.06907519901
0.02158885336 0 0.07468350877
0.02320553546 0 0.08050724918
0.02487196483 0 0.08654590292
0.02658698127 0 0.0927989336
0.02834939806 0 0.09926578581
0.0301580035 7.902048236e-05 0.1059458851
0.03201156234 0.001008832344 0.1128386381
0.03390881733 0.001965988805 0.1199434326
0.03584849077 0.002950306957 0.1272596375
0.037829286 0.003961601511 0.1347866029
0.03984988901 0.004999685104 0.1425236603
0.04190896994 0.006064368618 0.1504701223
0.0440051847 0.007155461512 0.1586252831
0.04613717648 0.008272772162 0.1669884184
0.04830357733 0.009416108223 0.1755587853
0.0505030097 0.010585277 0.1843356225
0.052734088 0.01178008581 0.1933181503
0.05499542015 0.01300034244 0.202505571
0.05728560905 0.01424585549 0.2118970684
0.05960325413 0.01551643485 0.2214918084
0.06194695285 0.01681189216 0.2312889386
0.06431530214 0.01813204125 0.2412875889
0.06670689985 0.01947669864 0.2514868711
0.06912034622 0.02084568407 0.2618858792
0.07155424522 0.022238821 0.2724836895
0.07400720598 0.0236559372 0.2832793607
0.07647784409 0.02509686534 0.2942719339
0.07896478293 0.02656144358 0.3054604326
0.08146665498 0.02804951624 0.316843863
0.083982103 0.02956093446 0.3284212139
0.08650978128 0.03109555695 0.340191457
0.08904835685 0.0326532507 0.3521535468
0.09159651052 0.03423389185 0.3643064208
0.09415293806 0.03583736647 0.3766489993
0.09671635121 0.03746357149 0.3891801862
0.09928547873 0.03911241568 0.4018988684
0.1018590673 0.04078382065 0.414803916
0.1044358826 0.04247772194 0.4278941827
0.1070147099 0.04419407022 0.4411685059
0.1095943553 0.04593283249 0.4546257064
0.1121736462 0.04769399349 0.4682645889
0.1147514322 0.04947755715 0.4820839419
0.1173265858 0.0512835481 0.4960825378
0.1198980028 0.05311201347 0.5102591333
0.1224646036 0.05496302468 0.5246124691
0.1250253328 0.05683667946 0.5391412702
0.1275791607 0.05873310411 0.5538442461
0.130125083 0.06065245585 0.5687200908
0.1326621217 0.06259492551 0.583767483
0.1351893254 0.06456074046 0.598985086
0.1377057693 0.06655016779 0.6143715482
0.1402105563 0.06856351795 0.6299255027
0.1427028162 0.07060114872 0.6456455682
0.1451817069 0.07266346958 0.661530348
0.147646414 0.07475094679 0.6775784314
0.150096151 0.07686410887 0.6937883929
0.1525301597 0.07900355294 0.7101587924
0.1549477099 0.08116995184 0.7266881761
0.1573480997 0.08336406218 0.7433750755
0.1597306551 0.0855867336 0.7602180085
0.1620947306 0.08783891931 0.777215479
0.1644397085 0.09012168826 0.7943659772
0.1667649989 0.09243623919 0.8116679797
0.1690700398 0.09478391695 0.8291199496
0.1713542969 0.09716623166 0.8467203367
0.1736172631 0.09958488105 0.8644675777
0.1758584585 0.1020417771 0.8823600961
0.1780774299 0.1045390775 0.9003963026
0.1802737509 0.1070792236 0.9185745952
0.1824470212 0.1096649862 0.9368933592
0.1845968665 0.112299521 0.9553509673
0.1867229379 0.1149864374 0.97394578
0.1888249119 0.1177298831 0.9926761458
0.1909024895 0.1205346512 1.011540401
0.1929553962 0.1234063151 1.030536869
0.1949833813 0.1263514033 1.049663864
0.1969862176 0.1293776267 1.068919686
0.1989637008 0.1324941813 1.088302625
0.2009156492 0.1357121582 1.107810959
0.2028419028 0.1390451105 1.127442955
0.2047423234 0.1425098587 1.14719687
0.2066167936 0.1461276693 1.167070948
0.2084652163 0.1499260411 1.187063425
0.2102875146 0.1539415308 1.207172525
0.2120836307 0.1582244713 1.227396461
0.2138535256 0.1628473982 1.247733437
0.2155971787 0.1679215194 1.268181646
0.217314587 0.1736332071 1.288739273
0.2190057646 0.1803418409 1.309404491
0.2206707423 0.1889481881 1.330175464
0.2223095667 0.2049789677 1.351050348
0.2225801656 0.242330893 1.354539468
0.22285004 0.1817923398 1.358031414
0.2231191903 0.2095004618 1.361526178
0.2233876168 0.1897480585 1.365023751
0.2236553199 1.07775164 1.368524124
0.2239223001 1.077840451 1.372027289
0.2255090194 1.078367521 1.393104422
0.2270698162 1.078884735 1.414279877
0.2286047955 1.079392197 1.435551771
0.2301140758 1.079890013 1.456918216
0.2315977881 1.08037829 1.478377313
0.2330560757 1.080857139 1.499927157
0.2344890934 1.081326671 1.521565833
0.235897007 1.081786999 1.543291419
0.2372799929 1.082238238 1.565101986
0.2386382376 1.082680503 1.586995595
0.2399719369 1.083113912 1.608970303
0.2412812958 1.083538583 1.631024158
0.2425665277 1.083954634 1.653155199
0.243827854 1.084362185 1.675361463
0.2450655037 1.084761356 1.697640975
0.2462797129 1.085152268 1.719991758
0.2474707242 1.085535042 1.742411826
0.2486387864 1.085909799 1.764899187
0.2497841542 1.086276661 1.787451844
0.2509070872 1.086635751 1.810067793
0.2520078504 1.086987188 1.832745027
0.2530867128 1.087331096 1.855481529
0.2541439477 1.087667595 1.878275282
0.2551798321 1.087996807 1.90112426
0.2561946463 1.088318852 1.924026433
0.2571886734 1.08863385 1.946979768
0.2581621995 1.088941923 1.969982225
0.2591155125 1.089243189 1.993031762
0.2600489025 1.089537766 2.01612633
0.2609626611 1.089825773 2.039263879
0.2618570813 1.090107327 2.062442353
0.2627324572 1.090382545 2.085659693
0.2635890834 1.090651541 2.108913837
0.264427255 1.090914432 2.13220272
0.2652472675 1.091171329 2.155524273
0.2660494162 1.091422347 2.178876424
0.266833996 1.091667597 2.2022571
0.2676013015 1.091907189 2.225664222
0.2683516264 1.092141233 2.249095713
0.2690852634 1.092369838 2.27254949
0.2698025041 1.092593109 2.296023471
0.2705036389 1.092811154 2.31951557
0.2711889564 1.093024077 2.343023701
0.2718587436 1.093231982 2.366545776
0.2725132857 1.09343497 2.390079704
0.2731528659 1.093633142 2.413623397
0.273777765 1.093826599 2.437174761
0.2743882618 1.094015437 2.460731707
0.2749846325 1.094199754 2.48429214
0.2755671508 1.094379646 2.507853969
0.2761360876 1.094555206 2.5314151
0.2766917113 1.094726527 2.55497344
0.2772342873 1.0948937 2.578526898
0.2777640779 1.095056816 2.60207338
0.2782813426 1.095215962 2.625610795
0.2787863377 1.095371226 2.649137053
0.2792793164 1.095522693 2.672650064
0.2797605284 1.095670448 2.696147739
0.2802302205 1.095814574 2.719627991
0.2806886358 1.095955151 2.743088735
0.2811360142 1.096092261 2.766527886
0.2815725922 1.096225981 2.789943362
0.2819986026 1.096356388 2.813333084
0.2824142749 1.09648356 2.836694974
0.282819835 1.096607569 2.860026956
0.2832155055 1.09672849 2.883326959
0.283601505 1.096846393 2.906592913
0.2839780489 1.09696135 2.929822751
0.2843453489 1.097073428 2.953014409
0.2847036132 1.097182697 2.976165828
0.2850530461 1.097289222 2.999274951
0.2853938489 1.097393069 3.022339726
0.2857262188 1.0974943 3.045358103
0.2860503498 1.097592979 3.068328039
0.2863664321 1.097689167 3.091247493
0.2866746525 1.097782923 3.114114428
0.2869751944 1.097874307 3.136926814
0.2872682376 1.097963376 3.159682625
0.2875539583 1.098050185 3.182379839
0.2878325295 1.098134791 3.20501644
0.2881041208 1.098217247 3.227590417
0.2883688981 1.098297606 3.250099766
0.2886270243 1.098375919 3.272542486
0.2888786588 1.098452237 3.294916585
0.2891239579 1.098526609 3.317220074
0.2893630743 1.098599083 3.339450973
0.2895961579 1.098669707 3.361607308
0.2898233552 1.098738526 3.383687109
0.2900448097 1.098805586 3.405688417
0.2902606615 1.09887093 3.427609276
0.2904710481 1.098934603 3.449447739
0.2906761036 1.098996644 3.471201867
0.2908759595 1.099057097 3.492869727
0.291070744 1.099116 3.514449394
0.2912605827 1.099173393 3.535938952
0.2914455982 1.099229314 3.557336493
0.2916259105 1.099283801 3.578640114
0.2918016366 1.099336889 3.599847925
0.291972891 1.099388615 3.62095804
0.2921397856 1.099439012 3.641968586
0.2923024293 1.099488115 3.662877695
0.292460929 1.099535958 3.683683511
0.2926153886 1.099582571 3.704384185
0.2927659098 1.099627986 3.724977879
0.2929125918 1.099672234 3.745462763
0.2930555314 1.099715346 3.765837018
0.293194823 1.099757349 3.786098834
0.2933305589 1.099798273 3.806246412
0.2934628289 1.099838145 3.826277961
0.2935917208 1.099876992 3.846191702
0.2937173202 1.09991484 3.865985867
0.2938397105 1.099951715 3.885658697
0.293958973 1.099987642 3.905208445
0.2940751871 1.100022646 3.924633374
0.2941884302 1.100056749 3.943931759
0.2942987777 1.100089976 3.963101885
0.294406303 1.100122348 3.98214205
0.2945110778 1.100153888 4.001050563
0.2946131719 1.100184616 4.019825744
0.2947126533 1.100214555 4.038465925
0.2948095883 1.100243723 4.056969451
0.2949040414 1.100272141 4.075334678
0.2949960755 1.100299828 4.093559974
0.2950857519 1.100326802 4.111643722
0.2951731303 1.100353082 4.129584313
0.2952582687 1.100378686 4.147380156
0.2953412238 1.10040363 4.165029669
0.2954220505 1.100427931 4.182531284
0.2955008026 1.100451607 4.199883447
0.2955775322 1.100474672 4.217084616
0.2956522903 1.100497142 4.234133265
0.2957251261 1.100519032 4.251027877
0.295796088 1.100540357 4.267766953
0.2958652227 1.100561131 4.284349006
0.2959325758 1.100581368 4.300772562
0.2959981918 1.100601081 4.317036164
0.2960621137 1.100620284 4.333138366
0.2961243835 1.100638989 4.349077737
0.2961850422 1.100657208 4.364852864
0.2962441293 1.100674954 4.380462343
0.2963016836 1.100692239 4.395904788
0.2963577426 1.100709073 4.411178829
0.2964123429 1.100725467 4.426283107
0.29646552 1.100741434 4.441216282
0.2965173084 1.100756982 4.455977026
0.2965677417 1.100772123 4.47056403
0.2966168525 1.100786865 4.484975997
0.2966646727 1.100801219 4.499211646
0.2967112329 1.100815195 4.513269714
0.2967565632 1.1008288 4.527148952
0.2968006926 1.100842044 4.540848127
0.2968436495 1.100854935 4.554366022
0.2968854613 1.100867482 4.567701436
0.2969261548 1.100879693 4.580853185
0.2969657558 1.100891575 4.5938201
0.2970042895 1.100903137 4.60660103
0.2970417803 1.100914385 4.61919484
0.297078252 1.100925327 4.631600411
0.2971137276 1.100935969 4.64381664
0.2971482295 1.100946319 4.655842444
0.2971817793 1.100956383 4.667676753
0.2972143981 1.100966167 4.679318516
0.2972461064 1.100975677 4.6907667
0.2972769238 1.10098492 4.702020287
0.2973068697 1.100993902 4.713078278
0.2973359626 1.101002627 4.723939691
0.2973642206 1.101011101 4.73460356
0.2973916612 1.10101933 4.745068939
0.2974183013 1.101027319 4.755334898
0.2974441574 1.101035072 4.765400526
0.2974692453 1.101042595 4.775264927
0.2974935805 1.101049891 4.784927226
0.2975171778 1.101056967 4.794386564
0.2975400516 1.101063825 4.803642102
0.2975622159 1.10107047 4.812693017
0.2975836842 1.101076906 4.821538505
0.2976044695 1.101083138 4.830177781
0.2976245844 1.101089168 4.838610077
0.2976440411 1.101095001 4.846834644
0.2976628512 1.10110064 4.854850752
0.2976810261 1.101106088 4.862657688
0.2976985768 1.101111349 4.870254759
0.2977155137 1.101116426 4.877641291
0.297731847 1.101121322 4.884816626
0.2977475864 1.10112604 4.891780129
0.2977627414 1.101130582 4.89853118
0.2977773208 1.101134952 4.905069179
0.2977913335 1.101139152 4.911393546
0.2978047877 1.101143184 4.917503719
0.2978176914 1.101147052 4.923399156
0.2978300521 1.101150756 4.929079332
0.2978418773 1.101154301 4.934543744
0.2978531738 1.101157686 4.939791905
0.2978639483 1.101160915 4.94482335
0.2978742071 1.10116399 4.949637631
0.2978839563 1.101166911 4.954234321
0.2978932016 1.101169682 4.958613012
0.2979019483 1.101172303 4.962773315
0.2979102016 1.101174777 4.966714861
0.2979179663 1.101177103 4.970437298
0.2979252469 1.101179285 4.973940297
0.2979320476 1.101181323 4.977223546
0.2979383725 1.101183219 4.980286753
0.2979442252 1.101184972 4.983129648
0.297949609 1.101186586 4.985751976
0.2979545272 1.10118806 4.988153506
0.2979589825 1.101189395 4.990334023
0.2979629776 1.101190592 4.992293334
0.2979665147 1.101191652 4.994031266
0.297969596 1.101192575 4.995547663
0.2979722231 1.101193362 4.996842392
0.2979743976 1.101194014 4.997915336
0.2979761208 1.10119453 4.998766401
0.2979773936 1.101194912 4.999395511
0.2979782169 1.101195158 4.999802611
0.297978591 1.10119527 4.999987663
0.2979785161 1.101195278 4.999950652
0.2979779924 1.101195278 4.999691581
0.2979770193 1.101195278 4.999210473
0.2979755965 1.101195278 4.998507371
0.297973723 1.101195278 4.997582337
0.2979713977 1.101195278 4.996435453
0.2979686194 1.101195278 4.995066821
0.2979653864 1.101195278 4.993476563
0.2979616969 1.101195278 4.99166482
