t  q  ell
0.735 0.3281759259 0.3622743819
0.7365 0.3211020093 0.347750486
0.738 0.3140645926 0.3333177506
0.7395 0.3070651759 0.3189786317
0.741 0.3001052593 0.304735586
0.7425 0.2931863426 0.2905910713
0.744 0.2863099259 0.2765475474
0.7455 0.2794775093 0.2626074769
0.747 0.2726905926 0.2487733253
0.7485 0.2659506759 0.2350475625
0.75 0.2592592593 0.2214326626
0.7515 0.2526178426 0.2079311052
0.753 0.2460279259 0.1945453755
0.7545 0.2394910093 0.1812779651
0.756 0.2330085926 0.1681313724
0.7575 0.2265821759 0.1551081033
0.759 0.2202132593 0.1422106716
0.7605 0.2139033426 0.1294415994
0.762 0.2076539259 0.1168034175
0.7635 0.2014665093 0.1042986662
0.765 0.1953425926 0.09192989513
0.7665 0.1892836759 0.07969966409
0.768 0.1832912593 0.06761054312
0.7695 0.1773668426 0.05566511289
0.771 0.1715119259 0.04386596503
0.7725 0.1657280093 0.03221570235
0.774 0.1600165926 0.02071693906
0.7755 0.1543791759 0.00937230102
0.777 0.1488172593 -0.0018155741
0.7785 0.1433323426 -0.01284403667
0.78 0.1379259259 -0.02371042496
0.7815 0.1325995093 -0.03441206505
0.783 0.1273545926 -0.04494627075
0.7845 0.1221926759 -0.05531034356
0.786 0.1171152593 -0.06550157265
0.7875 0.1121238426 -0.07551723483
0.789 0.1072199259 -0.08535459464
0.7905 0.1024050093 -0.09501090438
0.792 0.09768059259 -0.1044834042
0.7935 0.09304817593 -0.1137693221
0.795 0.08850925926 -0.1228658743
0.7965 0.08406534259 -0.1317702651
0.798 0.07971792593 -0.1404796874
0.7995 0.07546850926 -0.1489913226
0.801 0.07131859259 -0.157302341
0.8025 0.06726967593 -0.1654099018
0.804 0.06332325926 -0.1733111537
0.8055 0.05948084259 -0.181003235
0.807 0.05574392593 -0.188483274
0.8085 0.05211400926 -0.1957483891
0.81 0.04859259259 -0.2027956894
0.8115 0.04518117593 -0.2096222749
0.813 0.04188125926 -0.2162252368
0.8145 0.03869434259 -0.2226016582
0.816 0.03562192593 -0.2287486141
0.8175 0.03266550926 -0.234663172
0.819 0.02982659259 -0.2403423922
0.8205 0.02710667593 -0.2457833285
0.822 0.02450725926 -0.2509830282
0.8235 0.02202984259 -0.2559385329
0.825 0.01967592593 -0.2606468786
0.8265 0.01744700926 -0.2651050963
0.828 0.01534459259 -0.2693102126
0.8295 0.01337017593 -0.2732592498
0.831 0.01152525926 -0.2769492263
0.8325 0.009811342593 -0.2803771574
0.834 0.008229925926 -0.2835400552
0.8355 0.006782509259 -0.2864349295
0.837 0.005470592593 -0.2890587875
0.8385 0.004295675926 -0.2914086349
0.84 0.003259259259 -0.2934814757
0.8415 0.002362842593 -0.2952743126
0.843 0.001607925926 -0.2967841475
0.8445 0.0009960092593 -0.2980079813
0.846 0.0005285925926 -0.2989428148
0.8475 0.0002071759259 -0.2995856481
0.849 3.325925929e-05 -0.2999334815
0.8505 9.612976918e-17 -0.299
0.852 9.612976918e-17 -0.296
0.8535 9.612976918e-17 -0.293
0.855 9.612976918e-17 -0.29
0.8565 9.612976918e-17 -0.287
0.858 9.612976918e-17 -0.284
0.8595 9.612976918e-17 -0.281
0.861 9.612976918e-17 -0.278
0.8625 9.612976918e-17 -0.275
0.864 9.612976918e-17 -0.272
0.8655 9.612976918e-17 -0.269
0.867 9.612976918e-17 -0.266
0.8685 9.612976918e-17 -0.263
0.87 9.612976918e-17 -0.26
0.8715 9.612976918e-17 -0.257
0.873 9.612976918e-17 -0.254
0.8745 9.612976918e-17 -0.251
0.876 9.612976918e-17 -0.248
0.8775 9.612976918e-17 -0.245
0.879 9.612976918e-17 -0.242
0.8805 9.612976918e-17 -0.239
0.882 9.612976918e-17 -0.236
0.8835 9.612976918e-17 -0.233
0.885 9.612976918e-17 -0.23
0.8865 9.612976918e-17 -0.227
0.888 9.612976918e-17 -0.224
0.8895 9.612976918e-17 -0.221
0.891 9.612976918e-17 -0.218
0.8925 9.612976918e-17 -0.215
0.894 9.612976918e-17 -0.212
0.8955 9.612976918e-17 -0.209
0.897 9.612976918e-17 -0.206
0.8985 9.612976918e-17 -0.203
0.9 9.612976918e-17 -0.2
0.9015 9.612976918e-17 -0.197
0.903 9.612976918e-17 -0.194
0.9045 9.612976918e-17 -0.191
0.906 9.612976918e-17 -0.188
0.9075 9.612976918e-17 -0.185
0.909 9.612976918e-17 -0.182
0.9105 9.612976918e-17 -0.179
0.912 9.612976918e-17 -0.176
0.9135 9.612976918e-17 -0.173
0.915 9.612976918e-17 -0.17
0.9165 9.612976918e-17 -0.167
0.918 9.612976918e-17 -0.164
0.9195 9.612976918e-17 -0.161
0.921 9.612976918e-17 -0.158
0.9225 9.612976918e-17 -0.155
0.924 9.612976918e-17 -0.152
0.9255 9.612976918e-17 -0.149
0.927 9.612976918e-17 -0.146
0.9285 9.612976918e-17 -0.143
0.93 9.612976918e-17 -0.14
0.9315 9.612976918e-17 -0.137
0.933 9.612976918e-17 -0.134
0.9345 9.612976918e-17 -0.131
0.936 9.612976918e-17 -0.128
0.9375 9.612976918e-17 -0.125
0.939 9.612976918e-17 -0.122
0.9405 9.612976918e-17 -0.119
0.942 9.612976918e-17 -0.116
0.9435 9.612976918e-17 -0.113
0.945 9.612976918e-17 -0.11
0.9465 9.612976918e-17 -0.107
0.948 9.612976918e-17 -0.104
0.9495 9.612976918e-17 -0.101
0.951 9.612976918e-17 -0.098
0.9525 9.612976918e-17 -0.095
0.954 9.612976918e-17 -0.092
0.9555 9.612976918e-17 -0.089
0.957 9.612976918e-17 -0.086
0.9585 9.612976918e-17 -0.083
0.96 9.612976918e-17 -0.08
0.9615 9.612976918e-17 -0.077
0.963 9.612976918e-17 -0.074
0.9645 9.612976918e-17 -0.071
0.966 9.612976918e-17 -0.068
0.9675 9.612976918e-17 -0.065
0.969 9.612976918e-17 -0.062
0.9705 9.612976918e-17 -0.059
0.972 9.612976918e-17 -0.056
0.9735 9.612976918e-17 -0.053
0.975 9.612976918e-17 -0.05
0.9765 9.612976918e-17 -0.047
0.978 9.612976918e-17 -0.044
0.9795 9.612976918e-17 -0.041
0.981 9.612976918e-17 -0.038
0.9825 9.612976918e-17 -0.035
0.984 9.612976918e-17 -0.032
0.9855 9.612976918e-17 -0.029
0.987 9.612976918e-17 -0.026
0.9885 9.612976918e-17 -0.023
0.99 9.612976918e-17 -0.02
0.9915 9.612976918e-17 -0.017
0.993 9.612976918e-17 -0.014
0.9945 9.612976918e-17 -0.011
0.996 9.612976918e-17 -0.008
0.9975 9.612976918e-17 -0.005
0.999 9.612976918e-17 -0.002
1 9.612976918e-17 0
