t  S  q  ell
0.17425 1.354539468 0.242330893 0.2225801656
0.1745 1.358031414 0.1817923398 0.22285004
0.17475 1.361526178 0.2095004618 0.2231191903
0.175 1.365023751 0.1897480585 0.2233876168
0.17525 1.368524124 1.07775164 0.2236553199
0.1755 1.372027289 1.077840451 0.2239223001
0.177 1.393104422 1.078367521 0.2255090194
0.1785 1.414279877 1.078884735 0.2270698162
0.18 1.435551771 1.079392197 0.2286047955
0.1815 1.456918216 1.079890013 0.2301140758
0.183 1.478377313 1.08037829 0.2315977881
0.1845 1.499927157 1.080857139 0.2330560757
0.186 1.521565833 1.081326671 0.2344890934
0.1875 1.543291419 1.081786999 0.235897007
0.189 1.565101986 1.082238238 0.2372799929
0.1905 1.586995595 1.082680503 0.2386382376
0.192 1.608970303 1.083113912 0.2399719369
0.1935 1.631024158 1.083538583 0.2412812958
0.195 1.653155199 1.083954634 0.2425665277
0.1965 1.675361463 1.084362185 0.243827854
0.198 1.697640975 1.084761356 0.2450655037
0.1995 1.719991758 1.085152268 0.2462797129
0.201 1.742411826 1.085535042 0.2474707242
0.2025 1.764899187 1.085909799 0.2486387864
0.204 1.787451844 1.086276661 0.2497841542
0.2055 1.810067793 1.086635751 0.2509070872
0.207 1.832745027 1.086987188 0.2520078504
0.2085 1.855481529 1.087331096 0.2530867128
0.21 1.878275282 1.087667595 0.2541439477
0.2115 1.90112426 1.087996807 0.2551798321
0.213 1.924026433 1.088318852 0.2561946463
0.2145 1.946979768 1.08863385 0.2571886734
0.216 1.969982225 1.088941923 0.2581621995
0.2175 1.993031762 1.089243189 0.2591155125
0.219 2.01612633 1.089537766 0.2600489025
0.2205 2.039263879 1.089825773 0.2609626611
0.222 2.062442353 1.090107327 0.2618570813
0.2235 2.085659693 1.090382545 0.2627324572
0.225 2.108913837 1.090651541 0.2635890834
0.2265 2.13220272 1.090914432 0.264427255
0.228 2.155524273 1.091171329 0.2652472675
0.2295 2.178876424 1.091422347 0.2660494162
0.231 2.2022571 1.091667597 0.266833996
0.2325 2.225664222 1.091907189 0.2676013015
0.234 2.249095713 1.092141233 0.2683516264
0.2355 2.27254949 1.092369838 0.2690852634
0.237 2.296023471 1.092593109 0.2698025041
0.2385 2.31951557 1.092811154 0.2705036389
0.24 2.343023701 1.093024077 0.2711889564
0.2415 2.366545776 1.093231982 0.2718587436
0.243 2.390079704 1.09343497 0.2725132857
0.2445 2.413623397 1.093633142 0.2731528659
0.246 2.437174761 1.093826599 0.273777765
0.2475 2.460731707 1.094015437 0.2743882618
0.249 2.48429214 1.094199754 0.2749846325
0.2505 2.507853969 1.094379646 0.2755671508
0.252 2.5314151 1.094555206 0.2761360876
0.2535 2.55497344 1.094726527 0.2766917113
0.255 2.578526898 1.0948937 0.2772342873
