ell  q
0 0
5.551303189e-05 0
0.0002220102209 0
0.0004993659047 0
0.0008873708394 0
0.001385732488 0
0.001994075423 0
0.002711941847 0
0.00353879222 0
0.004474006001 0
0.005516882502 0
0.006666641847 0
0.007922426036 0
0.009283300119 0
0.01074825346 0
0.01231620113 0
0.01398598532 0
0.01575637699 0
0.01762607741 0
0.01959372 0
0.02165787208 0
0.0238170368 0
0.02606965509 0
0.02841410774 0
0.03084871751 0
0.03337175126 0
0.03598142226 0
0.03867589244 0
0.04145327472 0
0.04431163545 0
0.04724899677 0
0.05026333917 0
0.0533526039 0
0.05651469556 0
0.05974748461 0
0.06304881 0
0.06641648168 0
0.06984828324 0
0.07334197451 0
0.07689529414 0
0.08050596221 0
0.08417168283 0
0.08789014667 0
0.09165903358 0
0.09547601508 0
0.09933875689 0
0.1032449214 0.003244921421
0.1071921702 0.00719217023
0.1111781664 0.01117816642
0.115200577 0.01520057703
0.1192570754 0.01925707537
0.1233453433 0.0233453433
0.1274630735 0.02746307348
0.1316079716 0.03160797156
0.1357777583 0.0357777583
0.1399701717 0.03997017166
0.1441829688 0.04418296881
0.1484139281 0.04841392808
0.1526608509 0.05266085086
0.1569215634 0.05692156343
0.1611939187 0.06119391869
0.1654757979 0.06547579789
0.1697651122 0.06976511221
0.1740598043 0.07405980433
0.1783578499 0.07835784989
0.1826572589 0.08265725891
0.1869560771 0.08695607708
0.1912523871 0.09125238706
0.1955443096 0.09554430961
0.1998300047 0.09983000471
0.2041076726 0.1041076726
0.2083755547 0.1083755547
0.2126319345 0.1126319345
0.2168751383 0.1168751383
0.2211035362 0.1211035362
0.2253155423 0.1253155423
0.2295096156 0.1295096156
0.2336842604 0.1336842604
0.237838027 0.137838027
0.2419695115 0.1419695115
0.2460773566 0.1460773566
0.2501602517 0.1501602517
0.2542169329 0.1542169329
0.2582461832 0.1582461832
0.2622468328 0.1622468328
0.2662177586 0.1662177586
0.2701578844 0.1701578844
0.2740661808 0.1740661808
0.2779416648 0.1779416648
0.2817833997 0.1817833997
0.2855904949 0.1855904949
0.2893621052 0.1893621052
0.2930974308 0.1930974308
0.2967957165 0.1967957165
0.3004562515 0.2004562515
0.3040783686 0.2040783686
0.3076614441 0.2076614441
0.3112048965 0.2112048965
0.3147081865 0.2147081865
0.3181708159 0.2181708159
0.321592327 0.221592327
0.3249723022 0.2249723022
0.3283103627 0.2283103627
0.3316061681 0.2316061681
0.3348594153 0.2348594153
0.338069838 0.238069838
0.3412372057 0.2412372057
0.3443613226 0.2443613226
0.3474420272 0.2474420272
0.350479191 0.250479191
0.3534727178 0.2534727178
0.3564225427 0.2564225427
0.3593286312 0.2593286312
0.3621909784 0.2621909784
0.3650096077 0.2650096077
0.3677845705 0.2677845705
0.3705159445 0.2705159445
0.3732038334 0.2732038334
0.3758483657 0.2758483657
0.3784496936 0.2784496936
0.3810079925 0.2810079925
0.3835234596 0.2835234596
0.3859963135 0.2859963135
0.3884267929 0.2884267929
