t  S  q  ell
0.1095 0.5687200908 0.02603581904 0.0780750498
0.111 0.583767483 0.02693623029 0.07959727303
0.1125 0.598985086 0.02783861363 0.08111359522
0.114 0.6143715482 0.02874266164 0.08262346161
0.1155 0.6299255027 0.0296480691 0.08412633376
0.117 0.6456455682 0.03055453318 0.08562168972
0.1185 0.661530348 0.03146175356 0.08710902414
0.12 0.6775784314 0.03236943259 0.08858784839
0.1215 0.6937883929 0.03327727552 0.09005769061
0.123 0.7101587924 0.03418499057 0.09151809583
0.1245 0.7266881761 0.03509228913 0.09296862596
0.126 0.7433750755 0.03599888593 0.09440885981
0.1275 0.7602180085 0.03690449913 0.09583839309
0.129 0.777215479 0.03780885052 0.09725683838
0.1305 0.7943659772 0.03871166564 0.09866382507
0.132 0.8116679797 0.0396126739 0.1000589993
0.1335 0.8291199496 0.04051160875 0.1014420239
0.135 0.8467203367 0.04140820779 0.1028125782
0.1365 0.8644675777 0.04230221289 0.1041703579
0.138 0.8823600961 0.04319337036 0.1055150751
0.1395 0.9003963026 0.04408143099 0.1068464579
0.141 0.9185745952 0.04496615023 0.1081642505
0.1425 0.9368933592 0.04584728828 0.1094682127
0.144 0.9553509673 0.04672461021 0.1107581199
0.1455 0.97394578 0.04759788602 0.1120337628
0.147 0.9926761458 0.0484668908 0.1132949471
0.1485 1.011540401 0.04933140476 0.1145414937
0.15 1.030536869 0.05019121338 0.1157732377
0.1515 1.049663864 0.05104610746 0.1169900288
0.153 1.068919686 0.05189588317 0.1181917306
0.1545 1.088302625 0.05274034221 0.1193782205
0.156 1.107810959 0.05357929179 0.1205493895
0.1575 1.127442955 0.05441254476 0.1217051417
0.159 1.14719687 0.05523991961 0.122845394
0.1605 1.167070948 0.0560612406 0.1239700761
0.162 1.187063425 0.05687633772 0.1250791298
0.1635 1.207172525 0.05768504682 0.1261725088
0.165 1.227396461 0.05848720958 0.1272501784
0.1665 1.247733437 0.0592826736 0.1283121154
0.168 1.268181646 0.06007129237 0.1293583072
0.1695 1.288739273 0.06085292536 0.1303887522
0.171 1.309404491 0.06162743796 0.1314034588
0.1725 1.330175464 0.06239470156 0.1324024454
0.174 1.351050348 0.06315459353 0.13338574
0.1755 1.372027289 0.06390699721 0.13435338
0.177 1.393104422 0.06465180191 0.1353054116
0.1785 1.414279877 0.06538890293 0.1362418897
0.18 1.435551771 0.0661182015 0.1371628773
0.1815 1.456918216 0.06683960479 0.1380684455
0.183 1.478377313 0.06755302586 0.1389586729
0.1845 1.499927157 0.06825838367 0.1398336454
0.186 1.521565833 0.06895560301 0.140693456
0.1875 1.543291419 0.06964461444 0.1415382042
0.189 1.565101986 0.0703253543 0.1423679957
0.1905 1.586995595 0.07099776463 0.1431829425
0.192 1.608970303 0.07166179308 0.1439831621
0.1935 1.631024158 0.07231739291 0.1447687775
0.195 1.653155199 0.07296452289 0.1455399166
0.1965 1.675361463 0.07360314723 0.1462967124
0.198 1.697640975 0.07423323551 0.1470393022
0.1995 1.719991758 0.07485476259 0.1477678277
0.201 1.742411826 0.07546770855 0.1484824345
0.2025 1.764899187 0.0760720586 0.1491832719
0.204 1.787451844 0.07666780294 0.1498704925
0.2055 1.810067793 0.07725493675 0.1505442523
0.207 1.832745027 0.07783346001 0.1512047102
0.2085 1.855481529 0.07840337744 0.1518520277
0.21 1.878275282 0.0789646984 0.1524863686
0.2115 1.90112426 0.07951743674 0.1531078993
0.213 1.924026433 0.08006161075 0.1537167878
0.2145 1.946979768 0.080597243 0.1543132041
0.216 1.969982225 0.08112436023 0.1548973197
0.2175 1.993031762 0.08164299324 0.1554693075
0.219 2.01612633 0.08215317679 0.1560293415
0.2205 2.039263879 0.08265494944 0.1565775967
0.222 2.062442353 0.08314835343 0.1571142488
0.2235 2.085659693 0.08363343459 0.1576394743
0.225 2.108913837 0.08411024219 0.15815345
0.2265 2.13220272 0.08457882881 0.158656353
0.228 2.155524273 0.0850392502 0.1591483605
0.2295 2.178876424 0.08549156519 0.1596296497
0.231 2.2022571 0.08593583553 0.1601003976
0.2325 2.225664222 0.08637212577 0.1605607809
0.234 2.249095713 0.08680050313 0.1610109758
0.2355 2.27254949 0.08722103737 0.161451158
0.237 2.296023471 0.08763380067 0.1618815025
0.2385 2.31951557 0.08803886749 0.1623021833
0.24 2.343023701 0.08843631445 0.1627133738
0.2415 2.366545776 0.08882622021 0.1631152462
0.243 2.390079704 0.08920866533 0.1635079714
0.2445 2.413623397 0.08958373216 0.1638917195
0.246 2.437174761 0.08995150472 0.164266659
0.2475 2.460731707 0.09031206855 0.1646329571
0.249 2.48429214 0.09066551065 0.1649907795
0.2505 2.507853969 0.0910119193 0.1653402905
0.252 2.5314151 0.091351384 0.1656816526
0.2535 2.55497344 0.09168399531 0.1660150268
0.255 2.578526898 0.09200984477 0.1663405724
0.2565 2.60207338 0.0923290248 0.1666584467
