q  E
0.6085 -0.01248370394
0.612 -0.01324904882
0.6155 -0.01402479944
0.619 -0.01481083874
0.6225 -0.01560704608
0.626 -0.01641329719
0.6295 -0.01722946424
0.633 -0.01805541575
0.6365 -0.01889101668
0.64 -0.01973612838
0.6435 -0.02059060857
0.647 -0.0214543114
0.6505 -0.02232708741
0.654 -0.02320878353
0.6575 -0.0240992431
0.661 -0.02499830585
0.6645 -0.02590580791
0.668 -0.02682158182
0.6715 -0.0277454565
0.675 -0.02867725727
0.6785 -0.02961680587
0.682 -0.03056392043
0.6855 -0.03151841545
0.689 -0.03248010186
0.6925 -0.03344878699
0.696 -0.03442427455
0.6995 -0.03540636466
0.703 -0.03639485383
0.7065 -0.03738953498
0.71 -0.03839019742
0.7135 -0.03939662686
0.717 -0.0404086054
0.7205 -0.04142591156
0.724 -0.04244832025
0.7275 -0.04347560276
0.731 -0.04450752681
0.7345 -0.04554385649
0.738 -0.0465843523
0.7415 -0.04762877114
0.745 -0.04867686631
0.7485 -0.04972838751
0.752 -0.05078308083
0.7555 -0.05184068876
0.759 -0.05290095019
0.7625 -0.05396360041
0.766 -0.05502837112
0.7695 -0.05609499039
0.773 -0.05716318271
0.7765 -0.05823266898
0.78 -0.05930316646
0.7835 -0.06037438884
0.787 -0.0614460462
0.7905 -0.06251784502
0.794 -0.06358948817
0.7975 -0.06466067493
0.801 -0.06573110097
0.8045 -0.06680045836
0.808 -0.06786843558
0.8115 -0.06893471749
0.815 -0.06999898536
0.8185 -0.07106091685
0.822 -0.07212018603
0.8255 -0.07317646336
0.829 -0.07422941571
0.8325 -0.07527870633
0.836 -0.07632399488
0.8395 -0.07736493741
0.843 -0.0784011864
0.8465 -0.07943239067
0.85 -0.0804581955
0.8535 -0.08147824253
0.857 -0.0824921698
0.8605 -0.08349961178
0.864 -0.08450019929
0.8675 -0.0854935596
0.871 -0.08647931633
0.8745 -0.08745708954
0.878 -0.08842649566
0.8815 -0.08938714753
0.885 -0.0903386544
0.8885 -0.09128062188
0.892 -0.09221265203
0.8955 -0.09313434327
0.899 -0.09404529043
0.9025 -0.09494508474
0.906 -0.09583331384
0.9095 -0.09670956174
0.913 -0.09757340888
0.9165 -0.09842443207
0.92 -0.09926220454
0.9235 -0.1000862959
0.927 -0.1008962722
0.9305 -0.1016916958
0.934 -0.1024721256
0.9375 -0.1032371168
0.941 -0.1039862209
0.9445 -0.104718986
0.948 -0.1054349565
0.9515 -0.1061336733
0.955 -0.1068146734
0.9585 -0.1074774906
0.962 -0.1081216548
0.9655 -0.1087466925
0.969 -0.1093521263
0.9725 -0.1099374757
0.976 -0.110502256
0.9795 -0.1110459794
0.983 -0.1115681542
0.9865 -0.1120682852
0.99 -0.1125458736
0.9935 -0.113000417
0.997 -0.1134314094
1.0005 -0.1138383412
1.004 -0.1142206991
1.0075 -0.1145779664
1.011 -0.1149096227
1.0145 -0.1152151438
1.018 -0.1154940022
1.0215 -0.1157456667
1.025 -0.1159696025
1.0285 -0.1161652711
1.032 -0.1163321304
1.0355 -0.116469635
1.039 -0.1165772355
1.0425 -0.1166543791
1.046 -0.1167005094
1.0495 -0.1167150663
1.053 -0.1166974862
1.0565 -0.116647202
1.06 -0.1165636426
1.0635 -0.1164462338
1.067 -0.1162943974
1.0705 -0.1161075518
1.074 -0.1158851119
1.0775 -0.1156264886
1.081 -0.1153310896
1.0845 -0.1149983189
1.088 -0.1146275767
1.0915 -0.1142182599
1.095 -0.1137697615
1.0985 -0.1132814712
1.102 -0.1127527748
1.1055 -0.1121830548
1.109 -0.1115716898
1.1125 -0.110918055
1.116 -0.1102215219
1.1195 -0.1094814585
1.123 -0.1086972291
1.1265 -0.1078681945
1.13 -0.1069937117
1.1335 -0.1060731343
1.137 -0.1051058122
1.1405 -0.1040910918
1.144 -0.1030283158
1.1475 -0.1019168233
1.151 -0.1007559498
1.1545 -0.09954502725
1.158 -0.09828338399
1.1615 -0.09697034472
1.165 -0.09560523056
1.1685 -0.09418735903
1.172 -0.09271604403
1.1755 -0.09119059589
1.179 -0.08961032131
1.1825 -0.08797452341
1.186 -0.08628250168
1.1895 -0.08453355205
1.193 -0.0827269668
1.1965 -0.08086203465
1.2 -0.07893804071
