ell  q
0 0
0.009568577929 0
0.01909998503 0
0.02855719719 0
0.03790348307 0
0.04710254916 0
0.0561186829 0
0.06491689373 0
0.07346305112 0
0.08172401925 0
0.08966778784 0
0.09726359846 0
0.1044820659 0.004482065889
0.1112952941 0.01129529411
0.1176769864 0.01767698642
0.1236025492 0.02360254916
0.1290491888 0.02904918883
0.133996002 0.03399600201
0.1384240579 0.03842405787
0.1423164729 0.04231647288
0.1456584774 0.04565847744
0.1484374742 0.04843747417
0.1506430876 0.05064308761
0.1522672052 0.0522672052
0.1533040093 0.05330400926
0.15375 0.05375
0.1536040093 0.05375098405
0.1528672052 0.05375098405
0.1515430876 0.05375098405
0.1496374742 0.05375098405
0.1471584774 0.05375098405
0.1441164729 0.05375098405
0.1405240579 0.05375098405
0.136396002 0.05375098405
0.1317491888 0.05375098405
0.1266025492 0.05375098405
0.1209769864 0.05375098405
0.1148952941 0.05375098405
0.1083820659 0.05375098405
0.1014635985 0.05375098405
0.09416778784 0.05375098405
0.08652401925 0.05375098405
0.07856305112 0.05375098405
0.07031689373 0.05375098405
0.0618186829 0.05375098405
0.05310254916 0.05375098405
0.04420348307 0.05375098405
0.03515719719 0.05375098405
0.02599998503 0.05375098405
0.01676857793 0.05375098405
0.0075 0.05375098405
-0.001768577929 0.05375098405
-0.01099998503 0.05375098405
-0.02015719719 0.05375098405
-0.02920348307 0.05375098405
-0.03810254916 0.05375098405
-0.0468186829 0.0531813171
-0.05531689373 0.04468310627
-0.06356305112 0.03643694888
-0.07152401925 0.02847598075
-0.07916778784 0.02083221216
-0.08646359846 0.01353640154
-0.09338206589 0.006617934111
-0.09989529411 0.0001047058868
-0.1059769864 -0.005976986416
-0.1116025492 -0.01160254916
-0.1167491888 -0.01674918883
-0.121396002 -0.02139600201
-0.1255240579 -0.02552405787
-0.1291164729 -0.02911647288
-0.1321584774 -0.03215847744
-0.1346374742 -0.03463747417
-0.1365430876 -0.03654308761
-0.1378672052 -0.0378672052
-0.1386040093 -0.03860400926
-0.13875 -0.03875098405
-0.1383040093 -0.03875098405
-0.1372672052 -0.03875098405
-0.1356430876 -0.03875098405
-0.1334374742 -0.03875098405
-0.1306584774 -0.03875098405
-0.1273164729 -0.03875098405
-0.1234240579 -0.03875098405
-0.118996002 -0.03875098405
-0.1140491888 -0.03875098405
-0.1086025492 -0.03875098405
-0.1026769864 -0.03875098405
-0.09629529411 -0.03875098405
-0.08948206589 -0.03875098405
-0.08226359846 -0.03875098405
-0.07466778784 -0.03875098405
-0.06672401925 -0.03875098405
-0.05846305112 -0.03875098405
-0.04991689373 -0.03875098405
-0.0411186829 -0.03875098405
-0.03210254916 -0.03875098405
-0.02290348307 -0.03875098405
-0.01355719719 -0.03875098405
-0.004099985035 -0.03875098405
0.005431422071 -0.03875098405
0.015 -0.03875098405
0.02456857793 -0.03875098405
0.03409998503 -0.03875098405
0.04355719719 -0.03875098405
0.05290348307 -0.03875098405
0.06210254916 -0.03789745084
0.0711186829 -0.0288813171
0.07991689373 -0.02008310627
0.08846305112 -0.01153694888
0.09672401925 -0.003275980753
0.1046677878 0.004667787844
0.1122635985 0.01226359846
0.1194820659 0.01948206589
0.1262952941 0.02629529411
0.1326769864 0.03267698642
